Fecha de operación; Precio ;;
30/3/2005; $ 300,20 ;;
31/3/2005; $ 301,50 ;;
1/4/2005; $ 299,00 ;;
4/4/2005; $ 295,50 ;;
5/4/2005; $ 288,30 ;;
6/4/2005; $ 285,50 ;;
7/4/2005; $ 278,90 ;;
8/4/2005; $ 275,20 ;;
11/4/2005; $ 280,20 ;;
12/4/2005; $ 283,00 ;;
13/4/2005; $ 275,00 ;;
14/4/2005; $ 275,10 ;;
15/4/2005; $ 278,50 ;;
18/4/2005; $ 279,10 ;;
19/4/2005; $ 276,10 ;;
20/4/2005; $ 280,00 ;;
21/4/2005; $ 280,70 ;;
22/4/2005; $ 289,00 ;;
25/4/2005; $ 300,00 ;;
26/4/2005; $ 290,00 ;;
27/4/2005; $ 290,00 ;;
28/4/2005; $ 290,00 ;;
29/4/2005; $ 291,70 ;;
2/5/2005; $ 290,00 ;;
3/5/2005; $ 289,50 ;;
4/5/2005; $ 290,00 ;;
5/5/2005; $ 290,00 ;;
6/5/2005; $ 295,00 ;;
9/5/2005; $ 290,80 ;;
10/5/2005; $ 295,00 ;;
11/5/2005; $ 296,00 ;;
12/5/2005; $ 295,00 ;;
13/5/2005; $ 295,00 ;;
16/5/2005; $ 295,30 ;;
17/5/2005; $ 293,70 ;;
18/5/2005; $ 294,80 ;;
19/5/2005; $ 291,80 ;;
20/5/2005; $ 290,00 ;;
23/5/2005; $ 297,00 ;;
